ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,monthly,monthly_lower,monthly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2023-05-16,63.8121805721721,62.41429886567949,92.70251468825744,63.8121805721721,63.8121805721721,-0.005004090631028889,-0.005004090631028889,-0.005004090631028889,0.22642063891119407,0.22642063891119407,0.22642063891119407,-0.011166218521565519,-0.011166218521565519,-0.011166218521565519,0.24259094806378842,0.24259094806378842,0.24259094806378842,0.0,0.0,0.0,78.2605752676398
2023-05-17,63.81070983522366,63.46644701909987,93.2082382591668,63.81070983522366,63.81070983522366,0.0007408917013371652,0.0007408917013371652,0.0007408917013371652,0.2252980194997594,0.2252980194997594,0.2252980194997594,-0.02292050225321532,-0.02292050225321532,-0.02292050225321532,0.24747763005163753,0.24747763005163753,0.24747763005163753,0.0,0.0,0.0,78.18713638397337
2023-05-18,63.80923909827523,63.77540265106776,93.74668276376057,63.80923909827523,63.80923909827523,0.001471636292635965,0.001471636292635965,0.001471636292635965,0.2373521666127322,0.2373521666127322,0.2373521666127322,-0.016941500000176454,-0.016941500000176454,-0.016941500000176454,0.25282203032027273,0.25282203032027273,0.25282203032027273,0.0,0.0,0.0,78.95450024816073
2023-05-19,63.80776836132678,65.60823768273256,94.76771236457152,63.80776836132678,63.80776836132678,-0.0016874881515193466,-0.0016874881515193466,-0.0016874881515193466,0.25792060978633047,0.25792060978633047,0.25792060978633047,0.0011716192425424155,0.0011716192425424155,0.0011716192425424155,0.25843647869530745,0.25843647869530745,0.25843647869530745,0.0,0.0,0.0,80.26510688618511
2023-05-20,63.806297624378345,89.6038861668155,119.37347847326139,63.806297624378345,63.806297624378345,-0.007414281057523718,-0.007414281057523718,-0.007414281057523718,0.6367696926850653,0.6367696926850653,0.6367696926850653,0.3800539766177331,0.3800539766177331,0.3800539766177331,0.26412999712485596,0.26412999712485596,0.26412999712485596,0.0,0.0,0.0,104.43621415402556
2023-05-21,63.80482688699733,45.354414740928696,74.61194589327438,63.80482688699733,63.80482688699733,-0.014797570123232722,-0.014797570123232722,-0.014797570123232722,-0.06161714933460233,-0.06161714933460233,-0.06161714933460233,-0.3165336864438843,-0.3165336864438843,-0.3165336864438843,0.26971410723251465,0.26971410723251465,0.26971410723251465,0.0,0.0,0.0,59.873355340432774
2023-05-22,63.803356149616306,64.54921726651898,93.11141829567102,63.803356149616306,63.803356149616306,-0.021859307421029157,-0.021859307421029157,-0.021859307421029157,0.23948547404424728,0.23948547404424728,0.23948547404424728,-0.01366368864197573,-0.01366368864197573,-0.01366368864197573,0.27500847010725216,0.27500847010725216,0.27500847010725216,0.0,0.0,0.0,79.08333314272112
2023-05-23,63.80188541223529,63.88308797736847,94.37558494826318,63.80188541223529,63.80188541223529,-0.02486720551860623,-0.02486720551860623,-0.02486720551860623,0.24381276790683815,0.24381276790683815,0.24381276790683815,-0.011166218522459082,-0.011166218522459082,-0.011166218522459082,0.27984619194790344,0.27984619194790344,0.27984619194790344,0.0,0.0,0.0,79.3575996922673
2023-05-24,63.80041467485428,63.54045190208867,94.62174849673825,63.80041467485428,63.80041467485428,-0.02063352663281887,-0.02063352663281887,-0.02063352663281887,0.2405246122517841,0.2405246122517841,0.2405246122517841,-0.022920502252298747,-0.022920502252298747,-0.022920502252298747,0.28407864113690173,0.28407864113690173,0.28407864113690173,0.0,0.0,0.0,79.14598467602664
2023-05-25,63.798943937473254,66.4212453374388,95.70619417529527,63.798943937473254,63.798943937473254,-0.010230571992713097,-0.010230571992713097,-0.010230571992713097,0.26040756674993626,0.26040756674993626,0.26040756674993626,-0.01694149999981201,-0.01694149999981201,-0.01694149999981201,0.2875796387424614,0.2875796387424614,0.2875796387424614,0.0,0.0,0.0,80.41267168944626
